video_id,title,description,tags,category_id,publish_date,channel_title,channel_id,viewCount,likeCount,commentCount,duration_iso,channel_subscribers
ko70cExuzZM,Taylor Swift - The Fate of Ophelia (Official Music Video),"The official music video for “The Fate of Ophelia”

Stream/download ‘The Life of a Showgirl’: https://taylor.lnk.to/TSTheLifeofaShowgirl

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe
►Shop Merch: http://taylor.lnk.to/store 
►Follow Taylor Swift Online: 
TikTok: http://tiktok.com/@taylorswift 
Instagram: http://instagram.com/taylorswift 
Twitter: http://twitter.com/taylorswift13 
Snapchat: http://snapchat.com/add/taylorswift 
Facebook: http://facebook.com/taylorswift 
Tumblr: http://taylorswift.tumblr.com 
Website: http://www.taylorswift.com 

►Follow Taylor Nation Online 
TikTok: http://tiktok.com/@taylornation
 Instagram: http://instagram.com/taylornation 
YouTube: https://youtube.com/taylornation 
Twitter: http://twitter.com/taylornation13
 Tumblr: http://taylornation.tumblr.com

#TaylorSwift #TheLifeofaShowgirl #TheFateofOphelia","Taylor swift,taylor,swift,taylor swift TLOAS,TS12,Showgirl,The Life of a Showgirl,new taylor swift,taylor swift album",10,2025-10-05T23:00:06Z,Taylor Swift,UCqECaJ8Gagnn7YCbPEzWH6g,76260701,1542960,70641,PT3M59S,62100000
JkF64nTdNvY,Ibiza Summer Mix 2025 🍓 Best Of Tropical Deep House Music Chill Out Mix 2024 🍓 Chillout Lounge,"Ibiza Summer Mix 2025 🍓 Best Of Tropical Deep House Music Chill Out Mix 2024 🍓 Chillout Lounge
🟢 Stream/Download: https://listen.magicrelaxmusic.com/deep/spotify:auto

#summermix #deephousemix #DeepMusic #summervibes

✔️ Follow Magic Club
➤ Spotify  →  https://spoti.fi/3c7MnrY
➤ YouTube → http://bit.ly/deepmusic19
➤ Facebook → http://bit.ly/magicclub_records
➤ Soundcloud → http://bit.ly/Magicclubrecords
➤ Instagram → https://bit.ly/2T8MkUM
➤ Submit Ur Demo → http://bit.ly/2IF07in


💌 magicclub.contact@gmail.com 💌
----------------------------------------------------------------------
» Thank you for watching! Have a nice day!
» Do not forget LIKE-SHARE-COMMENT",,10,2025-10-22T11:39:39Z,Magic Club,UCAJ1rjf90IFwNGlZUYuoP1Q,4004,2176,1,PT3H57M48S,3130000
7rYyeSmvwE0,Chill Fall Morning & Warm Jazz Music 🍂 Cozy Coffee Shop Ambience with Smooth Jazz Instrumental Music,"Chill Fall Morning & Warm Jazz Music 🍂 Cozy Coffee Shop Ambience with Smooth Jazz Instrumental Music

👉️🎼 Let's experience the great music on Spotify of Relax Jazz Cafe: https://open.spotify.com/playlist/5GQXA8Yahc1ZHpBGxXATG0

🌻 Good morning friends, how is your day going?
📺 Are you looking for relaxation, positivity and energy for the new day? This will be the perfect place for you!

📌 As the soft autumn breeze ripples across the lake, the golden leaves shimmer in the warm morning light. The cozy lakeside cafe glows with gentle lamplight, its inviting aroma of coffee and baked croissants blending perfectly with the crisp fall air. The smooth sound of jazz piano drifts through the scene, creating a moment of peace and reflection. The crackling fireplace adds a touch of warmth, while pumpkins and flowers decorate the wooden deck with the charm of the season. Each note of the piano feels like the whisper of falling leaves — soft, graceful, and nostalgic. It’s the kind of melody that wraps around the heart and slows down time, inviting you to savor every second.

🍂 As the sun sets behind the trees, the golden reflections on the lake dance in harmony with the music. This is autumn at its most magical — a blend of comfort, beauty, and sound that makes the world feel gentle again.

💌 Hope you all will contribute ideas to help my channel grow more and more. That's also my motivation to make the next videos better
💕 Here are some specific ways that this music can be used:

   •   Studying: The soft piano melodies will help you focus and concentrate on your work.
   •   Working: The smooth jazz sounds will help you stay motivated and productive.
   •   Sleeping: The soft piano melodies will help you relax and fall asleep.

❤ Thanks for listening, and we hope you will enjoy this video!
Don't forget to subscribe and share our channel with your friends and loved ones.
🔔 Please Subcribe and help us reach 100,000 subcribers!
   / @relaxjazzcafe1990  

🎼 | Listen on Spotify, Apple music:
» Spotify | https://open.spotify.com/artist/0hrtSalYHaRqJklQ9ofDc2
» iTunes I https://music.apple.com/us/artist/donald-jang/1818991508
» Deezer I https://www.deezer.com/en/artist/328988551
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
✔ All music and video were created by Relax Jazz Cafe or used with permission.

© Original Contents by Relax Jazz Cafe

#falljazz #smoothjazz #coffeeshopmusic","jazz,jazz music,chill jazz,fall jazz,autumn jazz,morning jazz,warm jazz,smooth jazz,jazz instrumental,cozy jazz,coffee shop music,coffee shop ambience,coffee shop jazz,cozy coffee shop,cozy coffee shop ambience,fall coffee shop,fall jazz music,autumn jazz music,warm jazz music,smooth jazz music,jazz instrumental music,smooth jazz instrumental,warm fall jazz,smooth fall jazz,fall morning jazz,fall ambience,autumn ambience,relax jazz cafe",22,2025-10-22T10:15:40Z,Relax Jazz Cafe,UCZR3-lM6Z-n5_UGHlwx_Rpw,3336,6142,0,P0D,187000
KA6nulKA490,Autumn Jazz Music 🍂 Cozy Porch Ambience with Relaxing Jazz Instrumental Music & Crackling Fireplace,"Autumn Jazz Music 🍂 Cozy Porch Ambience with Relaxing Jazz Instrumental Music & Crackling Fireplace

👉️🎼 Let's experience the great music on Spotify of Relax Jazz Cafe: https://open.spotify.com/playlist/5GQXA8Yahc1ZHpBGxXATG0

🌻 Good morning friends, how is your day going?
📺 Are you looking for relaxation, positivity and energy for the new day? This will be the perfect place for you!

📌 The golden hues of autumn wrap the cafe in a warm embrace as the gentle notes of jazz piano fill the air. Outside, the lake reflects the colors of the season — amber leaves drifting across the water beneath the fading sunset. Inside, the soft crackle of the fireplace and the glow of candlelight create a peaceful sanctuary, perfect for quiet reflection and a cup of coffee. Every corner tells a story — the books on the shelves, the pumpkins by the hearth, and the inviting table set for two by the lakeside. The music flows like the calm ripples of the water, carrying the heart to a place of serenity and warmth. It’s a moment suspended in time, where sound and stillness blend in perfect harmony.

🍂 As twilight deepens, the cafe becomes a haven of calm and comfort. The soft rhythm of the piano invites you to slow down, breathe deeply, and savor the beauty of autumn — a season made for cozy nights, glowing fires, and soulful melodies.

💌 Hope you all will contribute ideas to help my channel grow more and more. That's also my motivation to make the next videos better
💕 Here are some specific ways that this music can be used:

   •   Studying: The soft piano melodies will help you focus and concentrate on your work.
   •   Working: The smooth jazz sounds will help you stay motivated and productive.
   •   Sleeping: The soft piano melodies will help you relax and fall asleep.

❤ Thanks for listening, and we hope you will enjoy this video!
Don't forget to subscribe and share our channel with your friends and loved ones.
🔔 Please Subcribe and help us reach 100,000 subcribers!
   / @relaxjazzcafe1990  

🎼 | Listen on Spotify, Apple music:
» Spotify | https://open.spotify.com/artist/0hrtSalYHaRqJklQ9ofDc2
» iTunes I https://music.apple.com/us/artist/donald-jang/1818991508
» Deezer I https://www.deezer.com/en/artist/328988551
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
✔ All music and video were created by Relax Jazz Cafe or used with permission.

© Original Contents by Relax Jazz Cafe

#autumnjazz #relaxingjazz #cozyporch","jazz,jazz music,autumn jazz,fall jazz,relaxing jazz,jazz instrumental,cozy jazz,crackling fireplace,fireplace sounds,cozy porch,porch ambience,autumn porch,cozy autumn porch,autumn porch ambience,cozy autumn porch ambience,autumn jazz music,fall jazz music,relaxing jazz music,jazz relaxing music,jazz instrumental music,cozy jazz music,cozy autumn jazz,relaxing autumn jazz,instrumental music,autumn ambience,fall ambience,relax jazz cafe",22,2025-10-22T02:47:32Z,Relax Jazz Cafe,UCZR3-lM6Z-n5_UGHlwx_Rpw,15360,6163,4,PT11H55M,187000
6wmDlk-7aMk,YLL LIMANI - LARG (Official Music Video),"YLL LIMANI - LARG (Official Music Video)

Subscribe to my YouTube channel here: https://lnk.to/subscribeYllLimani
Turn on the 🔔 to be notified for all the new songs.

Produced by: Panda & Masy Beats
Lyrics: Tonic, Denk, Yll Limani

Executive Producer: Bonart Ajvazi

Directed and Produced by NONAME DEPARTMENT
Creative Director / Producer: Marie Beriestain
Director of Photography: Matt Turzynski

► Follow Yll Limani
Spotify: https://open.spotify.com/artist/2qI59HaiEtvev8vnUkmRpT?si=Kx99Bn12Ryi4JHpcYhLZLw
Instagram: https://www.instagram.com/ylllimani
TikTok: https://www.tiktok.com/@ylllimanii
Facebook: https://www.facebook.com/YllLimaniOfficial

Distributed by : 360 Media
____________________________

► Connect with 360 Media
Instagram: https://www.instagram.com/360distribution
TikTok: https://www.tiktok.com/@360_media
Facebook: https://www.facebook.com/360distribution/

____________________________

► Connect with Three60 Music
Instagram: https://www.instagram.com/three60_music
TikTok: https://www.tiktok.com/@three60.music

____________________________

🎧 Listen to ""ALBANIAN TODAY HITS"" playlist on Spotify
► https://open.spotify.com/playlist/2byqirHnOlSnN6BFADwqJ8?si=e2fdb3bc585d4c11

℗ Three60 Music on behalf of Yll Limani

#ylllimani #Larg #three60music #360media","Yll Limani,Ylli,Ylli Limani,ylli limani,ylli,yll,prishtina,kosova,albania,kaje",10,2025-07-31T16:00:07Z,Yll Limani,UCwxa1gR8DEkcOVKXbN5cDkg,17408357,37086,554,PT3M3S,286000
1seR_ckLXz4,Golden Sparrow - Video Song | Dhanush | Priyanka Mohan | Pavish | Anikha | GV Prakash #NEEK,"#NilavukuEnMelEnnadiKobam #GoldenSparrow #Dhanush #PriyankaMohan #Pavish #Anikha #GVPrakash #Neek 

Singers : Sublahshini, G V Prakash Kumar, Dhanush,Arivu
Music : G V Prakash Kumar
Lyrics : Arivu
Programmed by Ganesan S
Indian percussions : Karthik Vamsi, Kaviraj
Recorded by Ashwin George John at Sounds Right studio, Chennai
Recorded, Mixed and Mastered by Jehovahson Alghar, Divine labs 
Assistant Sound Engineer : Roopash Tiwari, Divine labs 
Divine labs Musicians Assistant : P Rajamurugan 
Music Partner : Divo Music

Listen to “Golden Sparrow (From ""Nilavuku En Mel Ennadi Kobam"")""(Wunderbar Films)”song on your favorite streaming platforms :-  

Spotify - https://spoti.fi/3ALlZps
JioSaavn - https://bit.ly/3Z4MBMo
Apple Music - https://apple.co/3AHpM7p
Amazon Music - https://amzn.to/3AKFi2g
YouTube Music - https://bit.ly/3X8kvNp
Wynk - https://bit.ly/3Z3fVTm
iTunes - https://apple.co/3AHpM7p
Gaana - https://bit.ly/3X4NUs6
Insta - https://www.instagram.com/reels/audio/1045455769849594/

Wunderbar Films Pvt Ltd presents Nilavuku En Mel Ennadi Kobam
Starring : Pavish, Anikha Surendran, Priya Prakash Varrier, Matthew Thomas, Venkatesh Menon, Rabiya Khatoon, Ramya Ranganarhan 
Director : Dhanush 
Produced by : Kasthoori Raja & Vijayalakshmi Kasthoori Raja 
Banner : Wunderbar Films Pvt Ltd
Music : G.V Prakash Kumar 
Editor : G.K Prasanna 
DOP : Leon Britto
Art : Jackie
Visual Director & Costume Designer: Kavya Sriram 
Publicity Design : Kabilan 
Production Controller : D.Ramesh Kuchirayar
Executive Producer : Sreyas Srinivasan
PRO : Riaz K Ahmed

Wunderbar Films Official FB Page: http://bit.ly/WunderbarFilmsfb
Wunderbar Films Official Twitter: https://twitter.com/WunderbarFilms
Follow us on Instagram : https://www.instagram.com/wunderbarfilms/

In Association with Divo
FB : https://www.facebook.com/divomovies/
Twitter : https://www.twitter.com/divomovies/
Instagram : https://www.instagram.com/divomovies/
Telegram : https://t.me/divodigital","Golden Sparrow,Video Song,Dhanush,Priyanka Mohan,Pavish,Anikha,GV Prakash,Tamil song,Tamil music,New Tamil song,Tamil video song,Kollywood,Tamil cinema,GV Prakash songs,Dhanush songs,Priyanka Mohan songs,Pavish songs,Anikha songs,Tamil melody,Tamil hit songs,Tamil movie song,Trending Tamil song,Love song Tamil,Emotional Tamil song,Romantic Tamil song,Latest Tamil songs 2025,Tamil film songs,NEEK,Musical hit,Viral Tamil song,Wunderbar Films",10,2025-03-06T11:30:06Z,Wunderbar Films,UCIx3RWYwikMlDiJeCEUbfEA,216041976,609853,8845,PT4M18S,7320000
vB0V3iCSzQw,"GURU RANDHAWA - ""AZUL""  MV","Official Video for AZUL perfomed by Guru Randhawa and Anshika Pandey

Song - AZUL
Singer - Guru Randhawa
Lyrics - Guru Randhawa , Gurjit Gill
Composer - Guru Randhawa
Music Produced by - Lavish Dhiman
Mix/Master - Lavish Dhiman
Recorded at - Cali Studio 
Digital marketing and Campaign - Bull18 and Passcode Productions
Label - Guru Randhawa Worldwide
Label Partner - Warner Music India


A film by : Harry Singh | Preet Singh
DOP : Vishal Anand
Edit & Colorist : Gobindpuriya 
Choreographer - Yassh Kadamm
Asst. Choreographer: Dishita Dhanuka
Post Production : Roast N Render
Production : Monty productions
Production Team :     Har Ry, Raman ,Mukesh
Costume Stylist: Prabhjot Kaur
Costume Team : Ojas Tyagi, Afroj, Rachi Chitkara. 
Dress dada: Riyaz, Raju & Team
Art : PostGuru&Co 
Art Team : Maddy Raj, Amit Kumar, Mohit, MD.
Female lead  Makeup :Muskan Chhaparia 
Hair :  Tseten Lhamo
Guru Hair- Ravi
Makeup - Arveen Sandhu

#azul #gururandhawa #mv 

©️Guru Randhawa under exclusive license to Warner Music India, 2025.

Guru Randhawa: Social Accounts
http://instagram.com/gururandhawa
https://www.facebook.com/GuruRandhawa
http://www.gururandhawa.com

•⁠  ⁠Follow Warner Music India:
https://www.instagram.com/warnermusicindia/
https://www.youtube.com/@warnermusicindia
https://www.facebook.com/WarnerMusicInd/
https://www.snapchat.com/add/warnermusicin
https://twitter.com/WarnerMusicIN


Digital Partner - BULL18
https://instagram.com/bull18network","guru randhawa,guru randhawa new songs,guru randhawa videos,azul,guru new song,guru randhawa azul,azul song,guru new songs,guru randhawa latest song",10,2025-08-06T05:30:04Z,Guru Randhawa,UC8MyBFjXbTezvZgMTEBFwgA,126239787,1308858,42488,PT2M32S,5610000
Oa_RSwwpPaA,Benson Boone - Beautiful Things (Official Music Video),"Benson Boone - Beautiful Things (Official Music Video)

'American Heart' the second album from Benson Boone – out now: https://BensonBoone.lnk.to/AmericanHeart

Listen to 'Fireworks & Rollerblades' the debut album from Benson Boone now at: https://BensonBoone.lnk.to/FireworksRollerblades
Listen to the song now at: https://BensonBoone.lnk.to/BeautifulThings

🔔 Subscribe to Benson's Channel: https://bit.ly/3RV5Na8

Follow Benson Boone:
http://www.BensonBoone.com
https://www.Tiktok.com/@bensonboone
http://www.Instagram.com/BensonBoone
http://www.Twitter.com/BensonBoone
http://www.Facebook.com/BensonBoone

Credits:
Music Video Directed by: Matt Eastin
Written by Benson Boone, Jackson Lafrantz Larsen, and Evan Blair
Produced by Evan Blair 
Engineered by Evan Blair
Mixed by Alex Ghenea
Mastered by Randy Merrill

Lyrics:
For a while there it was rough 
But lately I’ve been doing better 
Than the last four cold Decembers
I recall 
And I see my family every month
I found a girl my parents love
She’ll come and stay the night
I think I might have it all 
And I thank god everyday 
For the girl he sent my way 
But I know the things he gives me
He can take away 
And I hold you every night
That’s a feeling I wanna get used to 
But there’s no man as terrified 
As the man who stands to lose you 
Oh I hope I don’t lose you
Mmm
Please 
Stay
I want you I need you oh God
Don’t 
Take
These beautiful things that I’ve got
Please stay 
I want you I need you oh God
Don’t take
These beautiful things that I’ve got
Please don’t take,
I found my mind I’m feeling sane
It’s been a while but I’m finding my faith
If everything’s good and it’s great why do I sit and wait till it’s gone
Oh I’ll tell ya I know I’ve got enough
I got peace,
And I got love,
But I’m up at night thinking I just might lose it all
Please stay 
I want you I need you oh God
Don’t take
These beautiful things that I’ve got
Please stay
I want you I need you oh god
I need
These beautiful things that I’ve got 

#BensonBoone #BeautifulThings #NewMusic #Pop","Benson Boone,Beautiful Things,Benson Boone Beautiful Things,Benson Boone Beautiful Things Music Video,Benson Boone lyrics,Beautiful Things lyrics,Benson Boone Beautiful Things lyrics,In The Stars,Benson Boone In The Stars,benson boone,benson,benson boone in the stars,benson boone new music,benson boone live,in the stars lyrics,new music,music shorts,benson boone new song,benson boone music video,benson beautiful,these beautiful things,benson boone lyrics",10,2024-01-18T23:00:13Z,Benson Boone,UCvILah8hAWYhYOmAG3ZjvBA,824830635,5871687,124809,PT3M13S,5430000
RkGDl8pmKHo,"Bogdan Pirvu ✘ Zeno Music - Viata, Viata (Remix)","Bogdan Pirvu ✘ Zeno Music - Viata, Viata (Remix) 🎵 manele noi 2026 și remixuri manele by Zeno Music. 
Ascultă cele mai noi hituri manele de petrecere și manele remix, disponibile acum.

🔔➕ Abonează-te la canalul Zeno Music👉 https://youtube.com/@ZenoMusicRo
👑 Devino membru TikTok VIP👉 https://vm.tiktok.com/ZNHtr8dKftUDB-zvDLt

🎧 Ascultă Zeno Music pe platforme oficiale:  
🎵 Spotify 👉 https://open.spotify.com/artist/3jBVOnztEcrcdgxybmGRFj  
🍎 Apple Music 👉 https://music.apple.com/us/artist/zeno-music/1547116449  

💎 Alătură-te comunității Zeno Music™  
➤ TikTok 👉 https://tiktok.com/@zen0music  
➤ Instagram 👉 https://instagram.com/zenomusicro  
➤ Facebook 👉 https://facebook.com/zenomusicro  
➤ SoundCloud 👉 https://soundcloud.com/zenomusicro  
📞 Contact 👉 http://zenomusic.ro  
▬▬▬▬▬▬▬▬▬
(C) & (P) 2025 Zeno Music
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
📢 Toate drepturile asupra acestui conținut sunt protejate de Zeno Music™. 
Orice reîncărcare sau utilizare neautorizată pe YouTube ori alte platforme este ilegală și va fi raportată imediat.
➤ Această piesă este o creație originală sub semnătura Zeno Music™. 
Inteligența artificială a fost folosită doar ca instrument de sprijin în procesul de producție, însă deciziile muzicale, direcția artistică și rezultatul final aparțin exclusiv Zeno Music™.
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
#zenomusic  / #bogdanpirvu  / #viataviata / #remix  / #manelenoi","Manele remixate,Manele 2025 remix,Zeno Music,Zeno Music Remix,Zeno Remix,manele remix zeno music,zeno,zeno music 2025,manele zeno remix,cele mai noi manele,Muzica Romanasca,Manele 2026,Manele noi,Manele noi 2026,Manele Remix 2026,Bogdan Pirvu Zeno Music Viata Viata Remix,Viata Viata Remix,Bogdan Pirvu Viata Viata Remix,Zeno Music Viata Viata Remix,Viata Viata Remix Bogdan Pirvu Zeno Music,Viata Viata Remix Bogdan Pirvu,Viata Viata Remix Zeno Music",10,2025-10-22T14:00:48Z,Zeno Music,UCQsE7hbUu_GC-LdqNPyfSyQ,288,54,1,PT2M42S,470000
Pul4eWvOsl4,(Top 1 Viral) OPM Acoustic Love Songs 2025 Playlist 💗 Best Of Wish 107.5 Song Playlist 2025,"(Top 1 Viral) OPM Acoustic Love Songs 2025 Playlist 💗 Best Of Wish 107.5 Song Playlist 2025
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
💖💖💖It has been proven that listening to relaxing music every day is good for health, the nervous system, improves mental health and reduces mental stress.💖💖💖
💖Enjoy a great melody to calm your mind after a busy day at work or end a long day with a good night's sleep. and recharge energies for a new day full of positive energy.
💖 Our channel will upload and broadcast new videos and music every day with the best video quality.
💖 With decades of experience in the music industry, ""OPM Wish 2025"" has collaborated with many of the most famous artists. Our team of experts curates mixes daily, curating the best artists from our catalog for everyone to enjoy.
💖 Do not forget to subscribe and share with your friends if you find it useful, and also a motivation and help us to improve the quality of our products more and more. Thank !
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
🚫 Any act of copying or reproduction of this video/audio in whole or in part is strictly prohibited.
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
Audio/video reuse is not allowed. ©OPM Wish 2025",,10,2025-10-21T22:00:29Z,OPM Wish 2025,UC5k0BNf8_UljOYqy8Kh8hlA,12115,38,3,PT1H57M43S,241000
